Evaluation Time for status;Bioshaker Processed;Filter Plate ID;Target OD for Metabolomics;Average Measured;Ready Or Not
09-07-2020 15:45:14;1;1;0,8;0,170750010758638;0
09-07-2020 15:53:45;2;1;0,8;0,169200002215803;0
09-07-2020 16:02:19;3;1;0,8;6,74999319016933E-04;0
09-07-2020 16:18:55;1;1;0,8;0,207499999552965;0
09-07-2020 16:36:33;3;1;0,8;-1,34999956935644E-03;0
09-07-2020 16:53:09;1;1;0,8;0,27900000475347;0
09-07-2020 17:01:42;2;1;0,8;0,286699988879263;0
09-07-2020 17:10:16;3;1;0,8;2,82499752938747E-03;0
09-07-2020 17:27:48;1;1;0,8;0,371174998581409;0
09-07-2020 17:44:31;3;1;0,8;1,38499932363629E-02;0
09-07-2020 18:03:11;1;1;0,8;0,466024991124868;0
09-07-2020 18:11:43;2;1;0,8;0,455524995923042;0
09-07-2020 18:21:13;3;1;0,8;2,93999966233969E-02;0
09-07-2020 18:37:49;1;1;0,8;0,559475023299456;0
09-07-2020 18:56:35;3;1;0,8;0,068450003862381;0
09-07-2020 19:13:12;1;1;0,8;0,60829999204725;0
