Evaluation Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Evaluated File;Average Measured
09-07-2020 15:42:44;OD600;1;1;1;C:\Tecan\Assays\Data\OD600_2020_07_09_15_40_36.xlsx;0,170750010758638
09-07-2020 15:51:14;OD600;2;1;2;C:\Tecan\Assays\Data\OD600_2020_07_09_15_49_07.xlsx;0,169200002215803
09-07-2020 15:59:48;OD600;3;1;3;C:\Tecan\Assays\Data\OD600_2020_07_09_15_57_40.xlsx;6,74999319016933E-04
09-07-2020 16:16:25;OD600;1;2;4;C:\Tecan\Assays\Data\OD600_2020_07_09_16_14_17.xlsx;0,207499999552965
09-07-2020 16:34:03;OD600;3;2;1;C:\Tecan\Assays\Data\OD600_2020_07_09_16_31_55.xlsx;-1,34999956935644E-03
09-07-2020 16:50:39;OD600;1;3;2;C:\Tecan\Assays\Data\OD600_2020_07_09_16_48_31.xlsx;0,27900000475347
09-07-2020 16:59:11;OD600;2;2;3;C:\Tecan\Assays\Data\OD600_2020_07_09_16_57_04.xlsx;0,286699988879263
09-07-2020 17:07:45;OD600;3;3;4;C:\Tecan\Assays\Data\OD600_2020_07_09_17_05_37.xlsx;2,82499752938747E-03
09-07-2020 17:25:18;OD600;1;4;1;C:\Tecan\Assays\Data\OD600_2020_07_09_17_23_10.xlsx;0,371174998581409
09-07-2020 17:42:00;OD600;3;4;2;C:\Tecan\Assays\Data\OD600_2020_07_09_17_39_53.xlsx;1,38499932363629E-02
09-07-2020 18:00:40;OD600;1;5;3;C:\Tecan\Assays\Data\OD600_2020_07_09_17_58_33.xlsx;0,466024991124868
09-07-2020 18:09:12;OD600;2;3;4;C:\Tecan\Assays\Data\OD600_2020_07_09_18_07_05.xlsx;0,455524995923042
09-07-2020 18:18:43;OD600;3;5;1;C:\Tecan\Assays\Data\OD600_2020_07_09_18_16_36.xlsx;2,93999966233969E-02
09-07-2020 18:35:19;OD600;1;6;2;C:\Tecan\Assays\Data\OD600_2020_07_09_18_33_11.xlsx;0,559475023299456
09-07-2020 18:54:04;OD600;3;6;3;C:\Tecan\Assays\Data\OD600_2020_07_09_18_51_57.xlsx;0,068450003862381
09-07-2020 19:10:41;OD600;1;7;4;C:\Tecan\Assays\Data\OD600_2020_07_09_19_08_33.xlsx;0,60829999204725
