Sampling Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Dilution Factor
09-07-2020 20:39:51;OD600;1;1;1;5
09-07-2020 20:41:59;OD450;1;1;1;5
09-07-2020 20:48:21;OD600;2;1;2;5
09-07-2020 20:50:29;OD450;2;1;2;5
09-07-2020 20:56:54;OD600;3;1;3;5
09-07-2020 20:59:02;OD450;3;1;3;5
09-07-2020 21:13:28;OD600;1;2;4;5
09-07-2020 21:15:36;OD450;1;2;4;5
09-07-2020 21:31:01;OD600;3;2;1;5
09-07-2020 21:33:09;OD450;3;2;1;5
09-07-2020 21:47:33;OD600;1;3;2;5
09-07-2020 21:49:41;OD450;1;3;2;5
09-07-2020 21:56:04;OD600;2;2;3;5
09-07-2020 21:58:12;OD450;2;2;3;5
09-07-2020 22:06:38;OD600;3;3;4;5
09-07-2020 22:08:46;OD450;3;3;4;5
09-07-2020 22:22:06;OD600;1;4;1;5
09-07-2020 22:24:14;OD450;1;4;1;5
09-07-2020 22:49:48;OD600;3;4;2;5
09-07-2020 22:51:56;OD450;3;4;2;5
09-07-2020 23:00:20;OD600;2;3;3;5
09-07-2020 23:02:28;OD450;2;3;3;5
09-07-2020 23:28:04;OD600;3;5;4;5
09-07-2020 23:30:12;OD450;3;5;4;5
10-07-2020 00:03:42;OD600;3;6;1;5
10-07-2020 00:05:50;OD450;3;6;1;5
10-07-2020 00:38:20;OD600;3;7;2;5
10-07-2020 00:40:28;OD450;3;7;2;5
10-07-2020 01:13:02;OD600;3;8;3;5
10-07-2020 01:15:10;OD450;3;8;3;5
10-07-2020 01:47:41;OD600;3;9;4;5
10-07-2020 01:49:49;OD450;3;9;4;5
10-07-2020 02:23:19;OD600;3;10;1;5
10-07-2020 02:25:27;OD450;3;10;1;5
10-07-2020 02:58:01;OD600;3;11;2;5
10-07-2020 03:00:09;OD450;3;11;2;5
10-07-2020 03:32:45;OD600;3;12;3;5
10-07-2020 03:34:53;OD450;3;12;3;5
10-07-2020 04:07:27;OD600;3;13;4;5
10-07-2020 04:09:35;OD450;3;13;4;5
10-07-2020 04:43:06;OD600;3;14;1;5
10-07-2020 04:45:15;OD450;3;14;1;5
10-07-2020 05:17:48;OD600;3;15;2;5
10-07-2020 05:19:56;OD450;3;15;2;5
10-07-2020 05:47:39;Experiment Finished;;22;
