Evaluation Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Evaluated File;Average Measured
02-07-2019 15:23:21;OD600;1;1;1;C:\Tecan\Assays\Data\OD600_2019_07_02_03_21_09.xlsx;6,37499615550041E-03
02-07-2019 15:51:48;OD600;1;2;2;C:\Tecan\Assays\Data\OD600_2019_07_02_03_49_38.xlsx;5,37500716745853E-03
02-07-2019 16:20:13;OD600;1;3;3;C:\Tecan\Assays\Data\OD600_2019_07_02_04_18_03.xlsx;9,50000248849392E-03
02-07-2019 16:48:39;OD600;1;4;4;C:\Tecan\Assays\Data\OD600_2019_07_02_04_46_29.xlsx;1,16249965503812E-02
02-07-2019 17:17:59;OD600;1;5;1;C:\Tecan\Assays\Data\OD600_2019_07_02_05_15_49.xlsx;1,82499969378114E-02
02-07-2019 17:46:24;OD600;1;6;2;C:\Tecan\Assays\Data\OD600_2019_07_02_05_44_15.xlsx;2,47499952092767E-02
02-07-2019 18:14:51;OD600;1;7;3;C:\Tecan\Assays\Data\OD600_2019_07_02_06_12_41.xlsx;3,42499976977706E-02
02-07-2019 18:43:17;OD600;1;8;4;C:\Tecan\Assays\Data\OD600_2019_07_02_06_41_07.xlsx;4,82500065118074E-02
02-07-2019 19:12:38;OD600;1;9;1;C:\Tecan\Assays\Data\OD600_2019_07_02_07_10_29.xlsx;7,02499970793724E-02
02-07-2019 19:41:04;OD600;1;10;2;C:\Tecan\Assays\Data\OD600_2019_07_02_07_38_55.xlsx;0,100624999031425
02-07-2019 20:09:30;OD600;1;11;3;C:\Tecan\Assays\Data\OD600_2019_07_02_08_07_20.xlsx;0,144624984823167
02-07-2019 20:37:57;OD600;1;12;4;C:\Tecan\Assays\Data\OD600_2019_07_02_08_35_47.xlsx;0,209000003524125
02-07-2019 21:07:18;OD600;1;13;1;C:\Tecan\Assays\Data\OD600_2019_07_02_09_05_09.xlsx;0,293624997138977
02-07-2019 21:35:44;OD600;1;14;2;C:\Tecan\Assays\Data\OD600_2019_07_02_09_33_34.xlsx;0,397374997846782
02-07-2019 22:04:10;OD600;1;15;3;C:\Tecan\Assays\Data\OD600_2019_07_02_10_02_00.xlsx;0,531750009395182
02-07-2019 22:32:35;OD600;1;16;4;C:\Tecan\Assays\Data\OD600_2019_07_02_10_30_26.xlsx;0,665875016711652
02-07-2019 23:01:58;OD600;1;17;1;C:\Tecan\Assays\Data\OD600_2019_07_02_10_59_48.xlsx;0,845249998383224
