Sampling Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate
02-07-2019 15:21:09;OD600;1;1;1
02-07-2019 15:23:21;OD450;1;1;1
02-07-2019 15:49:38;OD600;1;2;2
02-07-2019 15:51:48;OD450;1;2;2
02-07-2019 16:18:03;OD600;1;3;3
02-07-2019 16:20:13;OD450;1;3;3
02-07-2019 16:46:29;OD600;1;4;4
02-07-2019 16:48:39;OD450;1;4;4
02-07-2019 17:15:49;OD600;1;5;1
02-07-2019 17:17:59;OD450;1;5;1
02-07-2019 17:44:14;OD600;1;6;2
02-07-2019 17:46:24;OD450;1;6;2
02-07-2019 18:12:41;OD600;1;7;3
02-07-2019 18:14:51;OD450;1;7;3
02-07-2019 18:41:07;OD600;1;8;4
02-07-2019 18:43:17;OD450;1;8;4
02-07-2019 19:10:29;OD600;1;9;1
02-07-2019 19:12:38;OD450;1;9;1
02-07-2019 19:38:55;OD600;1;10;2
02-07-2019 19:41:04;OD450;1;10;2
02-07-2019 20:07:20;OD600;1;11;3
02-07-2019 20:09:30;OD450;1;11;3
02-07-2019 20:35:47;OD600;1;12;4
02-07-2019 20:37:57;OD450;1;12;4
02-07-2019 21:05:09;OD600;1;13;1
02-07-2019 21:07:18;OD450;1;13;1
02-07-2019 21:33:34;OD600;1;14;2
02-07-2019 21:35:44;OD450;1;14;2
02-07-2019 22:02:00;OD600;1;15;3
02-07-2019 22:04:10;OD450;1;15;3
02-07-2019 22:30:26;OD600;1;16;4
02-07-2019 22:32:35;OD450;1;16;4
02-07-2019 22:59:48;OD600;1;17;1
02-07-2019 23:01:58;OD450;1;17;1
